,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,600,69,64,False,False,62.0,41.0
0,600,67,68,False,False,62.0,41.0
0,600,67,68,False,False,62.0,42.0
0,600,66,68,False,False,61.0,42.0
0,600,65,68,False,False,61.0,45.0
0,600,64,68,False,False,59.0,46.0
0,600,63,68,False,False,59.0,47.0
0,600,61,66,False,False,57.0,49.0
0,300,60,83,False,False,56.0,51.0
0,280,61,71,False,True,56.0,51.0
0,272,61,71,False,False,56.0,52.0
0,268,60,70,False,False,54.0,54.0
0,261,60,89,False,False,53.0,54.0
0,254,60,90,False,False,53.0,56.0
0,249,60,92,False,False,52.0,58.0
0,242,59,93,False,False,51.0,60.0
0,237,58,92,False,False,51.0,61.0
0,230,58,93,False,False,51.0,62.0
0,226,56,96,False,False,50.0,64.0
0,218,56,92,False,False,51.0,67.0
0,214,55,96,False,False,49.0,67.0
0,206,54,92,False,False,49.0,69.0
0,200,55,93,False,False,48.0,70.0
0,195,54,92,False,False,47.0,71.0
0,188,56,89,False,False,48.0,71.0
0,183,58,89,False,False,46.0,72.0
0,176,62,85,False,False,47.0,73.0
0,172,64,85,False,False,46.0,73.0
0,164,67,81,False,False,47.0,74.0
0,160,69,80,False,False,48.0,72.0
0,152,75,71,False,False,50.0,72.0
0,164,69,79,True,False,50.0,69.0
0,182,65,82,True,False,50.0,67.0
0,205,62,85,True,False,50.0,67.0
0,257,58,88,True,False,47.0,69.0
0,300,55,89,True,False,40.0,75.0
0,300,55,87,False,False,40.0,75.0
0,294,55,87,False,False,40.0,75.0
0,288,56,85,False,False,39.0,75.0
0,283,56,83,False,False,39.0,75.0
0,600,52,85,True,False,39.0,69.0
0,600,54,83,False,False,39.0,70.0
0,600,54,73,False,False,39.0,69.0
0,600,56,73,False,False,39.0,70.0
0,600,55,73,False,False,35.0,70.0
0,600,57,73,False,False,39.0,70.0
0,600,59,73,False,False,39.0,70.0
0,600,62,73,False,False,39.0,69.0
0,600,63,73,False,False,39.0,62.0
0,600,59,75,True,False,38.0,68.0
0,600,62,73,False,False,37.0,68.0
0,600,64,74,False,False,40.0,65.0
0,600,65,73,False,False,41.0,65.0
0,600,66,72,False,False,44.0,65.0
0,301,70,71,False,False,43.0,65.0
0,300,71,70,False,False,45.0,64.0
0,298,74,70,False,False,53.0,61.0
0,293,75,69,False,False,53.0,61.0
0,286,78,69,False,False,50.0,61.0
0,281,79,68,False,False,50.0,61.0
0,274,79,67,False,False,50.0,61.0
0,269,80,67,False,False,53.0,59.0
0,263,83,66,False,False,56.0,59.0
0,257,83,67,False,False,56.0,59.0
0,251,85,65,False,False,56.0,59.0
0,245,88,66,False,False,58.0,56.0
0,239,87,55,False,False,61.0,56.0
